Account,date,classification,total_closed_pnl,num_trades,num_closes,num_liquidations,total_volume_usd,win_rate
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-22,Extreme Greed,-179.521683,6,0,0,11242.93,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-25,Extreme Greed,-18956.391598000002,29,29,0,130058.37,0.1724137931034483
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-26,Greed,0.0,26,0,0,25001.07,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-27,Greed,0.0,22,0,0,14999.84,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-28,Greed,0.0,17,0,0,9999.78,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-29,Greed,0.0,7,0,0,6999.64,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-30,Greed,0.0,37,0,0,17999.63,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-31,Extreme Greed,0.0,48,0,0,30032.41,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-01,Greed,0.0,18,0,0,13921.36,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-02,Greed,0.0,30,0,0,40000.12,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-03,Fear,13770.715332,119,96,0,42245.02,1.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-04,Greed,0.0,45,0,0,30451.71,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-05,Neutral,0.0,25,0,0,14999.82,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-06,Neutral,0.0,17,0,0,7999.759999999999,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-07,Fear,0.0,9,0,0,5999.86,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-08,Fear,0.0,5,0,0,4999.92,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-09,Neutral,0.0,87,0,0,12000.32,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-10,Fear,24.634532000000036,85,65,0,59404.15,0.4461538461538462
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-11,Neutral,0.0,13,0,0,9999.93,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-12,Neutral,0.0,23,0,0,24999.670000000002,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-13,Neutral,-3556.3882559999997,46,16,0,43595.9,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-14,Neutral,8781.96,311,104,0,847863.59,0.7788461538461539
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-15,Neutral,35346.87108,179,161,0,432960.07,0.9565217391304348
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-16,Neutral,0.0,3,0,0,9999.890000000001,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-17,Neutral,0.0,6,0,0,15019.05,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-18,Neutral,0.0,13,0,0,24999.7,
